,Day,mm2,log body size
0,1,2.047575962,0.7166566359348038
1,1,3.088420239,1.127659710662498
2,1,1.530025847,0.4252846287257035
3,1,1.382439075,0.32384938472720437
4,1,0.082409452,-2.496055139907391
5,1,0.502076364,-0.6890030513374967
6,1,1.206835434,0.18800158982067133
7,1,0.108199039,-2.223782794309753
8,1,0.15297914,-1.8774537067541075
9,1,0.985044988,-0.015067965756585628
10,1,0.719881146,-0.32866915559841353
11,1,3.087482435,1.127356012869087
12,1,1.204842603,0.1863489384940815
13,1,0.841912782,-0.17207885442807724
14,1,2.043941975,0.7148802839737372
15,1,1.321599095,0.27884243900831307
16,1,1.063468777,0.06153599650597554
17,1,2.001858059,0.6940757787791337
18,1,0.789161355,-0.23678447334128164
19,1,1.428508655,0.3566310014732763
20,1,1.160648629,0.14897901177596815
21,1,1.736225315,0.5517133975627417
22,1,1.692500243,0.5262068693788765
23,1,0.011253638,-4.487063824829254
24,1,1.14458875,0.13504540218342304
25,1,1.044361038,0.04340525151693751
26,1,1.252905014,0.22546486617691822
27,1,0.961365459,-0.03940065198130121
28,1,2.191411521,0.784545866345054
29,1,0.808503545,-0.21257021531163203
30,1,0.707455255,-0.3460808952809733
31,1,1.769986229,0.5709717663294829
32,1,2.074303352,0.7296253633354891
33,1,1.399788433,0.336321105915829
34,1,0.08756737,-2.435346839015371
35,1,1.837273605,0.6082827363508402
36,1,0.988444525,-0.011622758330693966
37,1,1.272012754,0.24060049159722277
38,1,1.487121352,0.39684227275615214
39,1,1.614779807,0.4791986049642872
40,1,0.820460535,-0.19788946832906446
41,1,2.559264809,0.9397200332618789
42,1,1.398967856,0.3357347190076597
43,1,1.264627554,0.2347776551128972
44,1,1.343754695,0.2954677068412205
45,1,0.181816587,-1.704756863776895
46,1,1.009779547,0.009732036731710202
47,1,0.775445983,-0.25431695320803055
48,1,0.958552049,-0.04233141541469107
49,1,1.182452552,0.1675907154203529
50,1,1.80151986,0.5886306752917899
51,1,1.599188829,0.46949651881197163
52,1,1.641624422,0.4956862528329704
53,1,2.059532953,0.7224792352515468
54,1,1.517365504,0.4169756100401217
55,1,1.578791611,0.45665975126317543
56,1,1.031114568,0.030640322042476825
57,1,0.111715801,-2.1917971236455096
58,5,1.200739714,0.18293779521338444
59,5,2.376862095,0.865781170287804
60,5,2.242639019,0.8076533058944417
61,5,1.755801956,0.562925707531449
62,5,2.470173509,0.9042883947314163
63,5,2.861706326,1.051418064408826
64,5,2.479903217,0.9082195340121542
65,5,2.33958442,0.849973315306568
66,5,2.898749551,1.0642794546932413
67,5,2.399252145,0.8751570825445847
68,5,2.242873469,0.8077578424444306
69,5,1.901747572,0.6427732381756469
70,5,1.411628198,0.3447437885333187
71,5,2.31742882,0.8404583038545772
72,5,1.763538832,0.5673224902984317
73,5,2.338177715,0.8493718717094773
74,5,2.287301894,0.827372910701374
75,5,1.259469636,0.2306907085405689
76,5,1.43577663,0.36170590838757916
77,5,1.371419888,0.3158466177317654
78,5,1.646665114,0.49875209961629713
79,5,2.008422681,0.6973496781837568
80,5,1.186555441,0.1710545223085639
81,5,2.215442727,0.7954522602738385
82,5,0.983286607,-0.01685463775049637
83,5,1.128528871,0.12091490046614498
84,5,1.322888575,0.2798176601196274
85,5,1.578322709,0.45636270658507977
86,5,1.874785731,0.6284943760922831
87,5,1.802809339,0.5893461920960661
88,5,2.041128566,0.7135028735145653
89,5,1.232742247,0.2092411569114879
90,5,0.772398123,-0.2582551585187676
91,5,1.290768817,0.2552380230172813
92,5,1.511152558,0.41287264311787913
93,5,1.284555871,0.2504130329239276
94,5,2.312036452,0.8381287171218282
95,5,2.261395082,0.815981915757644
96,5,2.017800712,0.7020081618516296
97,5,1.683473888,0.5208594489551919
98,5,1.396506122,0.33397349021017003
99,5,1.464848527,0.38175184258419764
100,5,1.321716321,0.27893113519596235
101,5,1.688397354,0.5237797677607995
102,5,0.167397863,-1.7873818868385924
103,5,1.46121454,0.37926796661491347
104,5,1.3156206,0.2743084934649643
105,5,2.918443417,1.0710503977746044
106,5,1.970324428,0.6781982134548917
107,5,1.479853378,0.39194301394945535
108,5,1.81781419,0.5976347848113545
109,5,1.152208401,0.14168044955844145
110,5,2.488108994,0.9115229817952095
111,5,2.488108994,0.9115229817952095
112,5,1.493568749,0.4011683897538512
113,5,1.668234586,0.5117659331365346
114,5,1.68265331,0.5203718987421505
115,5,1.393575488,0.3318727379832274
116,5,1.638928238,0.49404251478850164
117,5,1.776433625,0.5746077729889314
118,10,2.146748646,0.7639544398494009
119,10,1.44339628,0.3669988644045506
120,10,2.404175612,0.8772070639217512
121,10,1.936797965,0.6610360759389705
122,10,1.101098129,0.09630798092608364
123,10,0.840154401,-0.1741695933216115
124,10,0.988444525,-0.011622758330693966
125,10,1.018688677,0.018516189405354346
126,10,2.207823076,0.7920069965811908
127,10,2.215911629,0.7956638894797561
128,10,1.304249737,0.2656279612718877
129,10,1.7167659,0.5404422301620855
130,10,1.868807236,0.6253003856476994
131,10,1.285962576,0.2515075243033358
132,10,0.861723874,-0.148820391422173
133,10,0.757627723,-0.277563144590765
134,10,1.639866041,0.49461455618285183
135,10,0.956676443,-0.044290039785032195
136,10,1.38079792,0.32266153497277483
137,10,1.495092679,0.40218819756332586
138,10,1.30518754,0.26634673926179503
139,10,1.755215829,0.5625918288436513
140,10,1.696837583,0.5287662733629767
141,10,2.697590774,0.9923590687424452
142,10,1.304366963,0.26571783725871173
143,10,1.682887761,0.5205112231452305
144,10,1.236024558,0.21190022777015324
145,10,0.675687173,-0.39202507188079483
