,b_1.long.starvation..ii.,b_2.long.starvation..ii.,b_3.long.starvation..ii.,b_1.0.21d,b_2.0.21d,b_1.0.21d.cell.number,b_2.0.21d.cell.number,b_1.0.21d.cell.size,b_2.0.21d.cell.size,b_3.0.21d.cell.size,b_1.AL,b_2.AL,b_3.AL,b_4.AL,b_1.RES,b_2.RES,b_3.RES,b_4.RES
1,-0.0273286623933335,-0.0319276071244662,0.0006420244329012,0.239245047824852,-0.0231807806891937,0.404205144297111,-0.101069045541943,0.0712216057570293,-0.0439852463336011,0.028112322930358,0.246731346955421,-0.0230989890515521,0.061857981720903,-0.0230979572844547,0.174225876860482,-0.0283114854424341,0.0873730893608667,-0.0260726328878746
2,-0.03367820479094,-0.0339072764164701,-0.0018602996213127,0.209143589845902,-0.0233982238824743,0.310906160645891,-0.11057867123463,0.202863694649242,-0.0398547368272272,0.0668722008135446,0.361459267188219,-0.0222121627555615,0.0720475829808217,-0.0209417394186496,0.204319558925543,-0.0386494093573881,0.0676698824819175,-0.0235610277401926
3,-0.0217907549093875,-0.0099040570931441,-0.0025644932475679,0.267221755529949,-0.0158463900136719,0.260749327007788,-0.100873294217849,0.0649304298136655,-0.0754859971259625,-0.00456335578133,0.256636706206948,-0.0203374954980104,0.0953448232527161,-0.0220563645080201,0.250395064705081,-0.0382340399724402,0.0441673694474404,-0.0151672673881604
4,-0.0966264837731252,-0.0287272999016864,0.0003501715445927,0.174804995053011,-0.0173274879506649,0.650255307098881,-0.0937640347960451,0.021993626732522,-0.0464524368996403,0.0206075543556278,0.324983124534194,-0.0175972421159231,0.0753551020016341,-0.0221324648856183,0.1384394402621,-0.0051530973921899,-0.0101682742521019,-0.009634369950569
5,-0.0296396569983675,-0.0121920572274801,0.0042755678834518,0.360878841013807,-0.0318708176709575,0.255702396652444,-0.0902561441487506,0.0648775357881873,-0.0429731945556653,0.0408863164153211,0.23132160816521,-0.0239578802050384,0.0575151427888663,-0.0243077679635069,0.119678573396864,-0.0403831107825554,0.0331952592084034,-0.0211656104269129
6,-0.0668473186624916,-0.0270816216142449,0.0016441783310059,0.298451891311389,-0.0247285715081588,0.743787359453648,-0.0982124444944746,0.153380912887933,-0.0401207127735893,-0.0124192355821847,0.31742889680171,-0.0201498281055545,0.0367591667621639,-0.0263054993382371,0.184003281375972,-0.0415939207187071,0.0400807913599702,-0.0242819565312645
7,-0.028465167760813,-0.0314649551157533,0.0001396739949985,0.142225584594584,-0.0125088384588776,0.281579210778245,-0.0860378412130349,0.0134815903051766,-0.0587958323385767,0.0779964239538497,0.428852142169592,-0.0250927995432327,0.0724599891094538,-0.0266505919795072,0.200089451450772,-0.0364980207312111,0.014241707250797,-0.0178142628065147
8,-0.0140026854277862,-0.0049190404454955,-0.0055860900940628,0.194939081804117,-0.012862771310208,0.315846878407774,-0.121201498511759,0.13626237697391,-0.0394610896934841,0.0650055483949383,0.158998687665305,-0.0246212904545578,0.0274016621597712,-0.0198089555951946,0.149127111171669,-0.0513342080905897,0.0791613125079228,-0.025007710418349
9,-0.103304233980207,-0.0266070567174632,1.03424630619156e-05,0.315980695119234,-0.0292554423232635,0.4445647441268,-0.104445039756905,0.0259938181876589,-0.0549909207938209,0.0304422964287682,0.258852957416529,-0.0167213076690254,0.0648423536061986,-0.0230605963749724,0.194033847221312,-0.040325402350846,0.0386561500429303,-0.018695877116584
10,-0.117367235184662,-0.024771969449537,0.0027101386043125,0.204146746679735,-0.0193240715788042,0.614887557753504,-0.118267824014042,0.0549945928420552,-0.0614265574740885,0.0412093806452589,0.311229289267718,-0.0193548292978948,0.0593297309753108,-0.0226913852801034,0.196990163131195,-0.039745227368806,0.0790417939397919,-0.0155126724549619
