,day,symbiosis,individual,name,pxl,mm2,condition,log body size
206,14,apo,p1,14,82064,18.08,fed,2.89480635496403
207,14,apo,p1,15,60103,13.24,fed,2.5832425505088623
208,14,apo,p1,16,79759,17.57,fed,2.866192902199006
209,14,apo,p1,17,58651,12.92,fed,2.558776498354456
210,14,apo,p2,1,295924,65.2,fed,4.177459468932607
211,14,apo,p2,2,71009,15.65,fed,2.750470916986162
212,14,apo,p2,3,60098,13.24,fed,2.5832425505088623
213,14,apo,p2,4,95742,21.1,fed,3.0492730404820207
214,14,apo,p2,5,153853,33.9,fed,3.5234150143864045
215,14,apo,p2,6,76629,16.88,fed,2.826129489167811
216,14,apo,p2,7,144133,31.76,fed,3.458207636378935
217,14,apo,p2,8,218098,48.06,fed,3.872450230308323
218,14,apo,p2,9,39302,8.66,fed,2.1587147225743437
219,14,apo,p2,10,167166,36.83,fed,3.606312730456974
220,14,apo,p2,11,153415,33.8,fed,3.520460802488973
221,14,apo,p2,12,97228,21.42,fed,3.064325065019603
222,14,apo,p2,13,62128,13.69,fed,2.6166656393003573
223,14,apo,p2,14,100274,22.09,fed,3.095125017432026
224,14,apo,p2,15,123003,27.1,fed,3.299533727885655
225,14,apo,p2,16,78413,17.28,fed,2.8495497633759097
226,14,apo,p2,17,59895,13.2,fed,2.580216829592325
227,14,apo,p2,18,138675,30.56,fed,3.4196919642983197
228,14,apo,p2,19,193344,42.6,fed,3.751854253275325
229,14,apo,p2,20,109047,24.03,fed,3.1793030497483774
230,14,apo,p3,1,43705,9.63,fed,2.2648832258100344
231,14,apo,p3,2,82275,18.13,fed,2.8975680247667595
232,14,apo,p3,3,134547,29.65,fed,3.3894621254437345
233,14,apo,p3,4,74065,16.32,fed,2.792391349535961
234,14,apo,p3,5,73908,16.28,fed,2.7899373605743945
235,14,apo,p3,6,99820,21.99,fed,3.09058780456667
236,14,apo,p3,7,89559,19.73,fed,2.982140320034524
237,14,apo,p3,8,79304,17.47,fed,2.8604851241459652
238,14,apo,p3,9,70896,15.62,fed,2.7485521444115397
239,14,apo,p3,10,105329,23.21,fed,3.1445832202863455
240,14,apo,p3,11,114668,25.27,fed,3.2296179214001026
241,14,apo,p3,12,179677,39.59,fed,3.678576561118039
242,14,apo,p3,13,135914,29.95,fed,3.3995293245614584
243,14,apo,p3,14,53861,11.87,fed,2.4740142086215764
244,14,apo,p3,15,56125,12.37,fed,2.5152741864043966
245,14,apo,p3,16,263289,58.01,fed,4.060615409477973
246,14,apo,p3,17,73824,16.27,fed,2.7893229212309465
302,21,apo,p1,1,51089,11.26,starved,2.421256622711544
303,21,apo,p1,2,57444,12.66,starved,2.5384474167160302
304,21,apo,p1,3,51112,11.26,starved,2.421256622711544
305,21,apo,p1,4,73098,16.11,starved,2.779440197188883
306,21,apo,p1,5,92020,20.28,starved,3.0096351787229825
307,21,apo,p1,6,75293,16.59,starved,2.808800104202353
308,21,apo,p1,7,55815,12.3,starved,2.509599262378372
309,21,apo,p1,8,46771,10.31,starved,2.333114298028869
310,21,apo,p1,9,51320,11.31,starved,2.425687290128029
311,21,apo,p1,10,48352,10.65,starved,2.365559892155434
312,21,apo,p1,11,52211,11.5,starved,2.4423470353692043
313,21,apo,p1,12,43168,9.51,starved,2.252343876557299
314,21,apo,p1,13,33782,7.44,starved,2.0068708488450007
315,21,apo,p1,14,45630,10.05,starved,2.307572634505085
316,21,apo,p1,15,89143,19.64,starved,2.97756830292632
317,21,apo,p1,16,105682,23.29,starved,3.1480240838962494
318,21,apo,p2,17,49372,10.88,starved,2.3869262414277967
319,21,apo,p2,18,142508,31.4,starved,3.4468078929142076
320,21,apo,p2,19,58436,12.88,starved,2.5556757206762075
321,21,apo,p2,20,48542,10.7,starved,2.3702437414678603
322,21,apo,p2,21,124278,27.38,starved,3.3098128198603027
323,21,apo,p2,22,200816,44.25,starved,3.7898553714539385
324,21,apo,p2,23,61722,13.6,starved,2.6100697927420065
325,21,apo,p2,24,78894,17.38,starved,2.8553201198372458
326,21,apo,p2,25,43907,9.67,starved,2.269028309465203
327,21,apo,p2,26,56956,12.55,starved,2.529720665577793
328,21,apo,p2,27,108533,23.91,starved,3.1742967814702334
329,21,apo,p2,28,73840,16.27,starved,2.7893229212309465
330,21,apo,p2,29,54720,12.06,starved,2.4898941912990393
331,21,apo,p2,30,59820,13.18,starved,2.578700529074361
332,21,apo,p2,31,77692,17.12,starved,2.840247370713596
333,21,apo,p2,32,48653,10.72,starved,2.372111155642656
334,21,apo,p3,1,155363,34.23,starved,3.533102452542094
335,21,apo,p3,2,100153,22.07,starved,3.094219220268645
336,21,apo,p3,3,34897,7.69,starved,2.0399207835175526
337,21,apo,p3,4,229587,50.59,starved,3.923753928303845
338,21,apo,p3,5,167524,36.91,starved,3.608482517041907
339,21,apo,p3,6,132792,29.26,starved,3.3762213955919784
340,21,apo,p3,7,71061,15.66,starved,2.751109690562657
341,21,apo,p3,8,63590,14.01,starved,2.6397713603489157
342,21,apo,p3,9,73052,16.1,starved,2.7788192719904172
343,21,apo,p3,10,60741,13.38,starved,2.5937610547000824
344,21,apo,p3,11,87378,19.25,starved,2.9575110607337933
345,21,apo,p3,12,79565,17.53,starved,2.863913698933143
346,21,apo,p3,13,66310,14.61,starved,2.681706225762608
347,21,apo,p3,14,49492,10.9,starved,2.388762789235098
348,21,apo,p3,15,150653,33.19,starved,3.502248625731883
349,21,apo,p3,16,157716,34.75,starved,3.548179572010801
350,21,apo,p3,17,63608,14.02,starved,2.640484881606444
397,28,apo,p1,1,24594,5.42,starved,1.6900958154515549
398,28,apo,p1,2,46862,10.33,starved,2.3350522831315472
399,28,apo,p1,3,79832,17.59,starved,2.8673305587494666
400,28,apo,p1,4,43392,9.56,starved,2.25758772706331
401,28,apo,p1,5,65977,14.54,starved,2.6769034721053733
402,28,apo,p1,6,46623,10.27,starved,2.329227023940467
403,28,apo,p1,7,43054,9.49,starved,2.2502386126218363
404,28,apo,p1,8,89815,19.79,starved,2.9851767596144745
405,28,apo,p1,9,49782,10.97,starved,2.395164274287139
406,28,apo,p1,10,39757,8.76,starved,2.1701959049483
407,28,apo,p1,11,48225,10.63,starved,2.363680192353857
408,28,apo,p1,12,37367,8.23,starved,2.1077860146889784
409,28,apo,p1,13,30214,6.66,starved,1.8961194845522977
410,28,apo,p1,14,27957,6.16,starved,1.8180767775454285
411,28,apo,p2,1,146665,32.32,starved,3.4756862336528944
412,28,apo,p2,2,33497,7.38,starved,1.998773638612381
413,28,apo,p2,3,67608,14.9,starved,2.7013612129514133
414,28,apo,p2,4,108660,23.94,starved,3.1755507001298273
415,28,apo,p2,5,22387,4.93,starved,1.5953389880545987
416,28,apo,p2,6,41216,9.08,starved,2.206074192613202
417,28,apo,p2,7,77028,16.97,starved,2.831447079246135
418,28,apo,p2,8,71122,15.67,starved,2.7517480563679295
419,28,apo,p2,9,53853,11.87,starved,2.4740142086215764
420,28,apo,p2,10,81630,17.99,starved,2.8898160479624417
421,28,apo,p2,11,84061,18.52,starved,2.918851229218033
422,28,apo,p2,12,39721,8.75,starved,2.169053700369523
423,28,apo,p2,13,107079,23.59,starved,3.1608228934195837
424,28,apo,p2,14,80945,17.84,starved,2.8814431271518632
425,28,apo,p2,15,114639,25.26,starved,3.229222116922345
426,28,apo,p3,1,68782,15.16,starved,2.7186603802142257
427,28,apo,p3,2,41869,9.23,starved,2.222459048514761
428,28,apo,p3,3,129684,28.57,starved,3.3523572162426816
429,28,apo,p3,4,49680,10.95,starved,2.3933394562625097
430,28,apo,p3,5,130861,28.83,starved,3.3614165116503107
431,28,apo,p3,6,99067,21.83,starved,3.0832851705618523
432,28,apo,p3,7,144153,31.76,starved,3.458207636378935
