,Day,mm2,log body size
0,1,8.229137735,2.1076812382402155
1,1,14.20757113,2.653775000687253
2,1,4.368945347,1.4745216406212016
3,1,9.554943259,2.257058639317723
4,1,9.38379595,2.238984366656107
5,1,7.256177005,1.9818531068096765
6,1,8.260788265,2.1115200145776445
7,1,12.40114645,2.5177889239823927
8,1,8.722651551,2.165923268648404
9,1,8.070885086,2.088263152352138
10,1,6.491875324,1.870551444908477
11,1,6.83885891,1.9226208916940584
12,1,5.64317223,1.7304463595207151
13,1,7.971244529,2.0758406323055687
14,1,3.377228748,1.2170554761540948
15,1,11.69311238,2.4589999829903006
16,1,12.61449447,2.534846507568288
17,1,9.16107,2.214962984091096
18,1,5.456785777,1.6968599308823178
19,1,8.580810288,2.1495283482016134
20,1,9.598316207,2.2615876879861037
21,1,5.43920215,1.6936323865087521
22,1,7.64067233,2.0334856006154416
23,1,3.567131927,1.271761891114734
24,1,4.325572399,1.4645444782164008
25,1,7.451941393,2.0084745881083084
26,1,5.003128184,1.6100633536049886
27,1,5.670133792,1.7352127139339315
28,1,4.844875535,1.577921555642267
29,1,6.639577796,1.8930483765269754
30,1,7.585576963,2.026248676222696
31,1,8.87504299,2.1832431792934095
32,1,6.942016192,1.9375922499059033
33,1,8.417868671,2.1303566692525795
34,1,8.036890073,2.084042201521016
35,1,7.4437357,2.0073728330449008
36,1,6.44498565,1.8633024098564763
37,1,4.024306246,1.3923525347723846
38,1,2.107690833,0.7455929562607102
39,1,3.521414495,1.2588627540623132
40,1,10.09417451,2.3119584762568373
41,1,9.329872825,2.233221384005367
42,1,3.107613125,1.1338549476017497
43,1,9.509225827,2.252262467039638
44,1,6.720462483,1.9051569740419416
45,1,9.042673574,2.2019548800151543
46,1,4.031339697,1.3940987517330132
47,1,6.282044034,1.8376954106429864
48,1,7.004145009,1.9465021179500055
49,1,14.96366712,2.7056250708495337
50,1,4.569398702,1.5193816211946518
51,1,5.047673374,1.6189274191043108
52,1,5.845970069,1.7657525467648971
53,1,10.40950756,2.342719576993094
54,1,8.686312053,2.1617484594401377
55,1,11.89356573,2.4759975589312693
56,1,5.154347382,1.6398405104245217
57,1,7.219837508,1.9768324468343006
58,1,10.57713815,2.3586948936201706
59,1,6.859959263,1.9257015033819695
60,1,8.225621009,2.1072537964152382
61,1,9.81635319,2.2840496878126526
62,1,5.938577174,1.7814695716853104
63,1,9.132936195,2.211887241481262
64,1,12.60042757,2.5337307475086672
65,1,3.961005186,1.3764978279042595
66,1,7.842297927,2.0595318943497167
67,1,9.742501954,2.276497958795244
68,1,10.40599084,2.342381682606337
69,1,9.300566779,2.230075342280696
70,1,7.339406176,1.9932579369013281
71,1,3.406534795,1.2256955854756186
72,1,7.929043823,2.0705324512014607
73,1,9.499847892,2.2512757871098907
74,1,3.860192388,1.3507170236854729
75,1,6.263288165,1.8347053131825648
76,1,6.715773516,1.9044590155972254
77,1,7.530481597,2.0189589968715476
78,1,7.048690199,1.9528418121876783
79,1,6.983044656,1.9434850188026371
80,1,9.649894848,2.2669470187112157
81,1,6.360584238,1.8501202344537928
82,1,8.259616023,2.1113781001327516
83,1,9.461163911,2.2471954104850327
84,1,2.800485762,1.0297928885626995
85,1,6.852925812,1.9246756869212747
86,1,4.188420103,1.4323235991044954
87,1,6.454363585,1.8647564268741357
88,1,6.537592756,1.8775690175886675
89,1,3.351439428,1.2093899335509586
90,5,7.631294395,2.0322574763865737
91,5,9.469369604,2.2480623372948263
92,5,5.346595044,1.6764599179199362
93,5,5.729918126,1.745701241968369
94,5,6.893954276,1.9306448356386783
95,5,4.831980875,1.5752565026362704
96,5,8.005239543,2.080096270173351
97,5,13.24164385,2.5833667006568986
98,5,9.731951777,2.2754144698124112
99,5,7.286655293,1.9860446331915989
100,5,5.779152284,1.7542570082602986
101,5,6.434435474,1.8616641097716866
102,5,3.958660702,1.3759057614959938
103,5,6.402784944,1.8567330432164095
104,5,2.737184702,1.0069299111576004
105,5,8.658178249,2.158504336587951
106,5,14.81362016,2.695547038652138
107,5,7.652394748,2.035018637806222
108,5,3.210770407,1.1665109105266938
109,5,7.756724272,2.0485601151763135
110,5,6.850581328,1.9243335140747293
111,5,4.07822937,1.4056629162792136
112,5,8.535092856,2.1441862356248333
113,5,3.356128395,1.2107880462163938
114,5,5.455613535,1.6966450850045245
115,5,3.258832322,1.1813689477800249
116,5,3.638638679,1.2916096224115008
117,5,3.118163301,1.1372441429010804
118,5,3.444046533,1.236647097798249
119,5,2.84385871,1.0451618306787716
120,5,7.380434641,1.9988325313226158
121,5,9.529153938,2.254355934921262
122,5,5.877620599,1.771152019979556
123,5,6.694673163,1.901312159878306
124,5,5.10862995,1.6309312567212988
125,5,7.135436096,1.9650733697337477
126,5,4.384184491,1.4780036315613532
127,5,4.591671297,1.5242440747914128
128,5,1.416068146,0.34788411981973805
129,5,3.570648652,1.2727472745250623
130,5,7.71100684,2.042648767894912
131,5,8.258443781,2.1112361655452907
132,5,3.037278614,1.1109619217306432
133,5,4.502580917,1.5046507694778366
134,5,6.904504453,1.9321740178847655
135,5,12.33901763,2.5127664067183586
136,5,4.055956775,1.4001866091808133
137,5,4.620977343,1.5306062288248217
