,Boots value,Legend
b_2.RES,-0.0448472898661679,b_2.RES
b_3.RES,0.0518260116092282,b_3.RES
b_4.RES,-0.0242722497882971,b_4.RES
b_1.long.starvation..ii.,-0.0414100544462185,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0263041128465274,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0003316605826199,b_3.long.starvation..ii.
b_1.0.21d,0.230119094138452,b_1.0.21d
b_2.0.21d,-0.0211984919408476,b_2.0.21d
b_1.0.21d.cell.number,0.322523234019634,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0995918409038802,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0489605992923947,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0408239667900831,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0561671102963111,b_3.0.21d.cell.size
b_1.AL,0.192206636075838,b_1.AL
b_2.AL,-0.019427796042976,b_2.AL
b_3.AL,0.0748234806140573,b_3.AL
b_4.AL,-0.0210817678215646,b_4.AL
b_1.RES,0.211108490297699,b_1.RES
b_2.RES,-0.0336531629889336,b_2.RES
b_3.RES,0.0302301735219991,b_3.RES
b_4.RES,-0.0177761076808695,b_4.RES
b_1.long.starvation..ii.,-0.0909233247867986,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0252687879396191,b_2.long.starvation..ii.
b_3.long.starvation..ii.,7.62808192975364e-05,b_3.long.starvation..ii.
