,Boots value,Legend
b_1.RES,0.0694300602638341,b_1.RES
b_2.RES,-0.0435660873308774,b_2.RES
b_3.RES,0.0453290098877725,b_3.RES
b_4.RES,-0.0146659390008159,b_4.RES
b_1.long.starvation..ii.,-0.0325154733508334,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0279863937593084,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0012798037734951,b_3.long.starvation..ii.
b_1.0.21d,0.334248821014191,b_1.0.21d
b_2.0.21d,-0.0257721534349882,b_2.0.21d
b_1.0.21d.cell.number,0.381940808899215,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0969505491999216,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.156122784063585,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0452871358220981,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0053883053429757,b_3.0.21d.cell.size
b_1.AL,0.289857529064607,b_1.AL
b_2.AL,-0.0210668117171551,b_2.AL
b_3.AL,0.030732283770121,b_3.AL
b_4.AL,-0.0232641982790549,b_4.AL
b_1.RES,0.202338177587429,b_1.RES
b_2.RES,-0.0312092057885659,b_2.RES
b_3.RES,0.0819357867355297,b_3.RES
b_4.RES,-0.022959913714248,b_4.RES
b_1.long.starvation..ii.,-0.0386765966957561,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.006572841651377,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0115501402460464,b_3.long.starvation..ii.
b_1.0.21d,0.22216202843224,b_1.0.21d
b_2.0.21d,-0.02307709140854,b_2.0.21d
b_1.0.21d.cell.number,0.386403074134908,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.103047359937117,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0382102605733906,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0548900324673904,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0567731689363002,b_3.0.21d.cell.size
b_1.AL,0.276076236665643,b_1.AL
b_2.AL,-0.0231516618185537,b_2.AL
b_3.AL,0.0600157321836332,b_3.AL
b_4.AL,-0.0215297728726096,b_4.AL
b_1.RES,0.212389729738408,b_1.RES
b_2.RES,-0.0393813631076527,b_2.RES
b_3.RES,0.0531098367841177,b_3.RES
b_4.RES,-0.0145870455043325,b_4.RES
b_1.long.starvation..ii.,-0.0953939436918629,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0296870053721956,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0015919483742107,b_3.long.starvation..ii.
b_1.0.21d,0.272322373704679,b_1.0.21d
b_2.0.21d,-0.0300947330348094,b_2.0.21d
b_1.0.21d.cell.number,0.336831716302733,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0788511145344556,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.112325391243626,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0492412254860876,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0765444389900471,b_3.0.21d.cell.size
b_1.AL,0.353094561691734,b_1.AL
b_2.AL,-0.014806996768908,b_2.AL
b_3.AL,0.0452615076645242,b_3.AL
b_4.AL,-0.021636904626407,b_4.AL
b_1.RES,0.138746683872277,b_1.RES
b_2.RES,-0.0453988880628949,b_2.RES
b_3.RES,0.0719633262197451,b_3.RES
b_4.RES,-0.0181022157120282,b_4.RES
b_1.long.starvation..ii.,-0.0272339331438959,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0254367935167285,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0002126902492743,b_3.long.starvation..ii.
b_1.0.21d,0.261608074157789,b_1.0.21d
b_2.0.21d,-0.0253535382265345,b_2.0.21d
b_1.0.21d.cell.number,0.386161375369679,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.107044890927276,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.089348231380047,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0498522401683132,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0520774699187585,b_3.0.21d.cell.size
b_1.AL,0.247739374849263,b_1.AL
b_2.AL,-0.0197838650668095,b_2.AL
b_3.AL,0.0568531108360519,b_3.AL
b_4.AL,-0.0213181643643311,b_4.AL
b_1.RES,0.151363309143334,b_1.RES
b_2.RES,-0.048183992871208,b_2.RES
b_3.RES,0.0332564163785376,b_3.RES
b_4.RES,-0.0193959858312067,b_4.RES
b_1.long.starvation..ii.,-0.058393188592816,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0270247769635355,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0019731104941064,b_3.long.starvation..ii.
b_1.0.21d,0.22355210123806,b_1.0.21d
b_2.0.21d,-0.0205976835876795,b_2.0.21d
b_1.0.21d.cell.number,0.261485654303276,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0959493219322572,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.14945406552145,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0423131021028046,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.014511316726649,b_3.0.21d.cell.size
b_1.AL,0.224340366937458,b_1.AL
b_2.AL,-0.0225491832114183,b_2.AL
b_3.AL,0.0336281223915178,b_3.AL
b_4.AL,-0.0249240948301949,b_4.AL
b_1.RES,0.098205255326188,b_1.RES
b_2.RES,-0.0456401085770418,b_2.RES
b_3.RES,0.0450945892465071,b_3.RES
b_4.RES,-0.018858512233936,b_4.RES
b_1.long.starvation..ii.,-0.0331266406743132,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0228304950470792,b_2.long.starvation..ii.
