day	symbiosis	individual	name	pxl	mm2	condition
7	sym	p5	2	78408	17,28	fed
7	sym	p5	1	61546	13,56	fed
7	sym	p5	2	101744	22,42	fed
7	sym	p5	3	51433	11,33	fed
7	sym	p5	4	108160	23,83	fed
7	sym	p5	5	77140	17,00	fed
7	sym	p5	6	52251	11,51	fed
7	sym	p5	7	101710	22,41	fed
7	sym	p5	8	68770	15,15	fed
7	sym	p5	9	134852	29,71	fed
7	sym	p5	10	60131	13,25	fed
7	sym	p5	11	69497	15,31	fed
7	sym	p5	12	82734	18,23	fed
7	sym	p5	1	138112	30,43	fed
7	sym	p6	2	119399	26,31	fed
7	sym	p6	3	31607	6,96	fed
7	sym	p6	4	30570	6,74	fed
7	sym	p6	5	44778	9,87	fed
7	sym	p6	6	174293	38,40	fed
7	sym	p6	7	65717	14,48	fed
7	sym	p6	8	55747	12,28	fed
7	sym	p6	9	60315	13,29	fed
7	sym	p6	10	38854	8,56	fed
7	sym	p6	11	82845	18,25	fed
7	sym	p6	12	180667	39,81	fed
7	sym	p6	13	123244	27,16	fed
7	sym	p6	14	144820	31,91	fed
7	sym	p6	15	69480	15,31	fed
7	sym	p6	16	72183	15,90	fed
7	sym	p6	17	160016	35,26	fed
7	sym	p6	18	32368	7,13	fed
7	sym	p6	19	81721	18,01	fed
7	sym	p6	20	77015	16,97	fed
7	sym	p6	21	134370	29,61	fed
7	sym	p6	22	174825	38,52	fed
14	apo	p1	1	70002	15,42	fed
14	apo	p1	2	58663	12,93	fed
14	apo	p1	3	61275	13,50	fed
14	apo	p1	4	71536	15,76	fed
14	apo	p1	5	128357	28,28	fed
14	apo	p1	6	180363	39,74	fed
14	apo	p1	7	72742	16,03	fed
14	apo	p1	8	43747	9,64	fed
14	apo	p1	9	78374	17,27	fed
14	apo	p1	10	48466	10,68	fed
14	apo	p1	11	67435	14,86	fed
14	apo	p1	12	137718	30,34	fed
14	apo	p1	13	52314	11,53	fed
14	apo	p1	14	82064	18,08	fed
14	apo	p1	15	60103	13,24	fed
14	apo	p1	16	79759	17,57	fed
14	apo	p1	17	58651	12,92	fed
14	apo	p2	1	295924	65,20	fed
14	apo	p2	2	71009	15,65	fed
14	apo	p2	3	60098	13,24	fed
14	apo	p2	4	95742	21,10	fed
14	apo	p2	5	153853	33,90	fed
14	apo	p2	6	76629	16,88	fed
14	apo	p2	7	144133	31,76	fed
14	apo	p2	8	218098	48,06	fed
14	apo	p2	9	39302	8,66	fed
14	apo	p2	10	167166	36,83	fed
14	apo	p2	11	153415	33,80	fed
14	apo	p2	12	97228	21,42	fed
14	apo	p2	13	62128	13,69	fed
14	apo	p2	14	100274	22,09	fed
14	apo	p2	15	123003	27,10	fed
14	apo	p2	16	78413	17,28	fed
14	apo	p2	17	59895	13,20	fed
14	apo	p2	18	138675	30,56	fed
14	apo	p2	19	193344	42,60	fed
14	apo	p2	20	109047	24,03	fed
14	apo	p3	1	43705	9,63	fed
14	apo	p3	2	82275	18,13	fed
14	apo	p3	3	134547	29,65	fed
14	apo	p3	4	74065	16,32	fed
14	apo	p3	5	73908	16,28	fed
14	apo	p3	6	99820	21,99	fed
14	apo	p3	7	89559	19,73	fed
14	apo	p3	8	79304	17,47	fed
14	apo	p3	9	70896	15,62	fed
14	apo	p3	10	105329	23,21	fed
14	apo	p3	11	114668	25,27	fed
14	apo	p3	12	179677	39,59	fed
14	apo	p3	13	135914	29,95	fed
14	apo	p3	14	53861	11,87	fed
14	apo	p3	15	56125	12,37	fed
14	apo	p3	16	263289	58,01	fed
14	apo	p3	17	73824	16,27	fed
14	sym	p4	1	291645	64,26	fed
14	sym	p4	2	213543	47,05	fed
14	sym	p4	3	256817	56,59	fed
14	sym	p4	4	254446	56,06	fed
14	sym	p4	5	217778	47,98	fed
14	sym	p4	6	238012	52,44	fed
14	sym	p4	7	316207	69,67	fed
14	sym	p4	8	76449	16,84	fed
14	sym	p4	9	182076	40,12	fed
14	sym	p4	10	128958	28,41	fed
14	sym	p4	11	242554	53,44	fed
14	sym	p4	12	145729	32,11	fed
14	sym	p4	13	107064	23,59	fed
14	sym	p4	14	346646	76,38	fed
14	sym	p4	15	116636	25,70	fed
14	sym	p4	16	107087	23,60	fed
14	sym	p4	17	174271	38,40	fed
14	sym	p4	18	194612	42,88	fed
14	sym	p4	19	222455	49,02	fed
14	sym	p4	20	125740	27,71	fed
14	sym	p5	1	144608	31,86	fed
14	sym	p5	2	290767	64,07	fed
14	sym	p5	3	57604	12,69	fed
14	sym	p5	4	274448	60,47	fed
14	sym	p5	5	60747	13,38	fed
14	sym	p5	6	74334	16,38	fed
14	sym	p5	7	54349	11,98	fed
14	sym	p5	8	96174	21,19	fed
14	sym	p5	9	156735	34,53	fed
14	sym	p5	10	86784	19,12	fed
14	sym	p5	11	99174	21,85	fed
14	sym	p5	12	104068	22,93	fed
14	sym	p5	13	60119	13,25	fed
14	sym	p5	14	155284	34,21	fed
14	sym	p5	15	173257	38,17	fed
14	sym	p6	1	168354	37,09	fed
14	sym	p6	2	96216	21,20	fed
14	sym	p6	3	40981	9,03	fed
