,experiment,day,individual,mm2,condition,feedingreg,reltime,log body size
3476,Cyclicfeeding_starving,2,P12_3,1.29,RES,FED,2,0.25464221837358075
3477,Cyclicfeeding_starving,2,P12_4,1.26,RES,FED,2,0.23111172096338664
3478,Cyclicfeeding_starving,2,P12_5,1.59,RES,FED,2,0.4637340162321402
3479,Cyclicfeeding_starving,2,P12_6,1.66,RES,FED,2,0.5068176023684519
3480,Cyclicfeeding_starving,2,P13_1,1.67,RES,FED,2,0.5128236264286637
3481,Cyclicfeeding_starving,2,P13_2,1.83,RES,FED,2,0.6043159668533296
3482,Cyclicfeeding_starving,2,P13_3,0.86,RES,FED,2,-0.15082288973458366
3483,Cyclicfeeding_starving,2,P13_4,2.5,RES,FED,2,0.9162907318741551
3484,Cyclicfeeding_starving,2,P13_5,2.03,RES,FED,2,0.7080357930536959
3485,Cyclicfeeding_starving,2,P13_6,1.65,RES,FED,2,0.5007752879124892
3486,Cyclicfeeding_starving,2,P14_1,0.72,RES,FED,2,-0.3285040669720361
3487,Cyclicfeeding_starving,2,P14_2,1.1,RES,FED,2,0.09531017980432493
3488,Cyclicfeeding_starving,2,P14_3,1.15,RES,FED,2,0.13976194237515863
3489,Cyclicfeeding_starving,2,P14_4,1.8,RES,FED,2,0.5877866649021191
3490,Cyclicfeeding_starving,2,P14_5,1.4,RES,FED,2,0.3364722366212129
3491,Cyclicfeeding_starving,2,P14_6,1.26,RES,FED,2,0.23111172096338664
3492,Cyclicfeeding_starving,2,P15_1,1.22,RES,FED,2,0.19885085874516517
3493,Cyclicfeeding_starving,2,P15_2,1.9,RES,FED,2,0.6418538861723947
3494,Cyclicfeeding_starving,2,P15_3,1.13,RES,FED,2,0.12221763272424911
3495,Cyclicfeeding_starving,2,P15_4,0.8,RES,FED,2,-0.2231435513142097
3496,Cyclicfeeding_starving,2,P15_5,2.01,RES,FED,2,0.6981347220709843
3497,Cyclicfeeding_starving,2,P15_6,1.77,RES,FED,2,0.5709795465857378
3498,Cyclicfeeding_starving,2,P16_1,1.17,RES,FED,2,0.1570037488096647
3499,Cyclicfeeding_starving,2,P16_2,1.32,RES,FED,2,0.27763173659827955
3500,Cyclicfeeding_starving,2,P16_3,1.57,RES,FED,2,0.45107561936021673
3501,Cyclicfeeding_starving,2,P16_4,1.55,RES,FED,2,0.4382549309311553
3502,Cyclicfeeding_starving,2,P16_5,1.86,RES,FED,2,0.62057648772511
3503,Cyclicfeeding_starving,2,P16_6,1.29,RES,FED,2,0.25464221837358075
3546,Cyclicfeeding_starving,2,P9_1,1.59,RES,FED,2,0.4637340162321402
3547,Cyclicfeeding_starving,2,P9_2,2.01,RES,FED,2,0.6981347220709843
3548,Cyclicfeeding_starving,2,P9_3,1.59,RES,FED,2,0.4637340162321402
3549,Cyclicfeeding_starving,2,P9_4,2.3,RES,FED,2,0.8329091229351039
3550,Cyclicfeeding_starving,2,P9_5,1.94,RES,FED,2,0.6626879730752367
3551,Cyclicfeeding_starving,2,P9_6,2.02,RES,FED,2,0.7030975114131134
3558,Cyclicfeeding_starving,4,P10_1,3.32,RES,FED,4,1.199964782928397
3559,Cyclicfeeding_starving,4,P10_2,1.71,RES,FED,4,0.5364933705145685
3560,Cyclicfeeding_starving,4,P10_3,1.68,RES,FED,4,0.5187937934151675
3561,Cyclicfeeding_starving,4,P10_4,2.09,RES,FED,4,0.7371640659767196
3562,Cyclicfeeding_starving,4,P10_5,2.4,RES,FED,4,0.8754687373538999
3563,Cyclicfeeding_starving,4,P10_6,1.95,RES,FED,4,0.6678293725756554
3564,Cyclicfeeding_starving,4,P11_1,2.21,RES,FED,4,0.7929925155296614
3565,Cyclicfeeding_starving,4,P11_2,1.82,RES,FED,4,0.598836501088704
3566,Cyclicfeeding_starving,4,P11_3,2.03,RES,FED,4,0.7080357930536959
3567,Cyclicfeeding_starving,4,P11_4,2.19,RES,FED,4,0.7839015438284094
3568,Cyclicfeeding_starving,4,P11_5,3.48,RES,FED,4,1.247032293786383
3569,Cyclicfeeding_starving,4,P11_6,3.22,RES,FED,4,1.169381359556317
3570,Cyclicfeeding_starving,4,P12_1,1.48,RES,FED,4,0.3920420877760237
3571,Cyclicfeeding_starving,4,P12_2,3.0,RES,FED,4,1.0986122886681098
3572,Cyclicfeeding_starving,4,P12_3,2.76,RES,FED,4,1.0152306797290584
3573,Cyclicfeeding_starving,4,P12_4,1.65,RES,FED,4,0.5007752879124892
3574,Cyclicfeeding_starving,4,P12_5,3.39,RES,FED,4,1.220829921392359
3575,Cyclicfeeding_starving,4,P12_6,2.41,RES,FED,4,0.8796267475025636
3576,Cyclicfeeding_starving,4,P13_1,1.94,RES,FED,4,0.6626879730752367
3577,Cyclicfeeding_starving,4,P13_2,2.58,RES,FED,4,0.9477893989335261
3578,Cyclicfeeding_starving,4,P13_3,2.38,RES,FED,4,0.8671004876833833
3579,Cyclicfeeding_starving,4,P13_4,2.71,RES,FED,4,0.9969486348916096
3580,Cyclicfeeding_starving,4,P13_5,1.99,RES,FED,4,0.688134638736401
3581,Cyclicfeeding_starving,4,P13_6,2.54,RES,FED,4,0.9321640810304452
