"","n_body_b1","n_body_b2","n_cell_numb_b1","n_cell_numb_b2","n_cell_size_b1","n_cell_size_b2","n_cell_size_b3","n_body_long_b1","n_body_long_b2","n_body_long_b3","n_AL_b1","n_AL_b2","n_AL_b3","n_AL_b4","n_RES_b1","n_RES_b2","n_RES_b3","n_RES_b4","a_apo_b1","a_apo_b2","a_symb_b1","a_symb_b2"
"2.5%",0.155902396775164,-0.0333526896577237,0.208080736957919,-0.125362480059998,-0.0183269840660982,-0.0673217200674704,-0.0113154442626008,-0.130642198604936,-0.0372912567984367,-0.0114058350452278,0.116635172276538,-0.0299714454780982,0.0219149559675569,-0.0273918789823784,0.0938452297497167,-0.0510292011061509,0.0160286167559617,-0.0308357044104728,0.140757351975138,-0.0289827714903034,0.133692448568218,-0.0151237359826333
"97.5%",0.317648389178661,-0.0130702292285392,0.680467602695036,-0.0783549701684831,0.213755713521653,-0.0312849388556497,0.131494566131337,0.00377016264745806,0.00168600265309727,0.0157353722267265,0.431177756786814,-0.0133073602055927,0.0990287430786651,-0.0175076245998605,0.248106818501188,-0.0277946961698012,0.0949861040650274,-0.0120127317204467,0.218140753783725,-0.0213703935233171,0.235441703187374,-0.00458769906734526
