"","tau1"
"1",10.2699588566811
"2",10.5664402830169
"3",11.0825941873967
"4",9.69506248415626
"5",10.3219162500902
"6",11.4182755515751
"7",10.6620826858322
"8",10.8193158239951
"9",9.64370872620211
"10",9.42511854151295
"11",10.216127281961
"12",10.9585767719168
"13",10.3924097226954
"14",9.99921916121469
"15",9.81765627959156
"16",10.8168172841059
"17",10.6699992346106
"18",10.4756197146057
"19",9.93826855429165
"20",9.75773226841688
"21",10.6933557848698
"22",10.2438111115268
"23",9.66584129196433
"24",9.7987168078571
"25",10.2405952454062
"26",9.42757319109942
"27",10.3135915981943
"28",10.1454968290787
"29",9.65056958477611
"30",10.3555877735101
"31",9.25002465360215
"32",10.7807098438189
"33",9.65459598182082
"34",10.8862691972228
"35",10.5703034182219
"36",9.95149339500292
"37",10.7586948080829
"38",9.88632702288334
"39",10.993836718071
"40",10.4910165912562
"41",10.0505796984624
"42",9.55929128870967
"43",11.4909941765108
"44",9.84037969848557
"45",10.8997469939525
"46",11.9491044696317
"47",10.171430319928
"48",9.77701090357413
"49",10.2669955667801
"50",10.0199688562113
"51",10.6283617435222
"52",11.0140397322258
"53",10.558946494124
"54",10.9234174961721
"55",9.74946504280699
"56",10.2923746409625
"57",10.6976863963486
"58",9.88336393635449
"59",9.73449156330223
"60",10.7262616732503
"61",10.7333276583397
"62",10.4809125053733
"63",9.80449700216244
"64",9.93624228447624
"65",10.64162705354
"66",10.1941680221236
"67",11.0499121611622
"68",10.4388202091321
"69",10.3963975844548
"70",10.4545313725918
"71",10.0376381327703
"72",10.4874294843478
"73",10.4080326456011
"74",10.0891618515068
"75",10.5149419167076
"76",10.9032759087096
"77",9.95995894760283
"78",11.2965758960199
"79",10.8736633940769
"80",10.4589765262708
"81",10.9245912316598
"82",10.0279673331376
"83",10.3932012117767
"84",9.90611025098042
"85",9.59548489669847
"86",10.189783154614
"87",10.6713030717461
"88",9.53145234435491
"89",10.1308447263547
"90",10.3919843624679
"91",10.3419078842294
"92",10.1189982263063
"93",10.1845396431535
"94",9.81116557002327
"95",10.0170196933718
"96",10.218239877148
"97",10.8143311762519
"98",9.73976242085033
"99",10.4855286376923
"100",10.410620259889
"101",10.2471260051561
"102",10.9227859486388
"103",10.0482000555331
"104",10.3872156117412
"105",10.1516003780565
"106",10.3748781104999
"107",9.40624328744586
"108",9.8623973571297
"109",10.6068523175482
"110",10.5300632199217
"111",10.2828950554358
"112",10.6058884776079
"113",9.62958049347982
"114",10.2478998535143
"115",9.71047513026963
"116",10.188985309459
"117",11.0785285066419
"118",10.8518906582993
"119",9.8788215594473
"120",10.951939067614
"121",10.323703100702
"122",9.5419147845208
"123",11.1439499531573
"124",9.63045412924458
"125",10.3305493418591
"126",10.3517890070214
"127",15.3680397456123
"128",9.9632165857129
"129",10.2425031178175
"130",10.1016619123263
"131",10.1535498432213
"132",9.67078712149252
"133",14.7891611589725
"134",9.79083304906806
"135",9.93263442462158
"136",11.083249530418
"137",9.98466122391236
"138",10.8110285055651
"139",10.7881297390484
"140",10.3646526619759
"141",9.90409679029837
"142",10.350441224936
"143",10.8895953877568
"144",10.7446174499224
"145",9.85405712894544
"146",9.61229312585306
"147",10.5233974235111
"148",11.3194425046569
"149",9.99801132882794
"150",9.81013809512015
"151",9.62366324956748
"152",9.94820702884633
"153",10.2148694694319
"154",9.78012002419753
"155",10.5937899736792
"156",10.6688901172493
"157",10.0468552364572
"158",10.232851627782
"159",10.763480169222
"160",10.2665012555618
"161",10.3260560301479
"162",10.399199033085
"163",10.1938506398348
"164",10.7511484145651
"165",11.6849124879295
"166",11.0018151334666
"167",10.0730654667296
"168",10.347027065763
"169",9.82654604537647
"170",9.6714434880956
"171",10.3803542164002
"172",10.2963223877463
"173",9.63141326655469
"174",9.95960416647032
"175",10.3430729573584
"176",9.9628019450845
"177",11.2507544794537
"178",10.8552515904372
"179",9.81417496054725
"180",9.65814112367577
"181",11.4038474625886
"182",10.3439117287166
"183",10.4582910916332
"184",9.50343416720341
"185",10.0677927736831
"186",10.5529273074761
"187",10.5113824719899
"188",5.39007624260711
"189",10.6598520065255
"190",10.340314469549
"191",9.775472337829
"192",11.0979335494142
"193",10.5908195598378
"194",10.5129758448406
"195",9.95631376461221
"196",10.6497524515549
"197",10.875305462101
"198",10.5855557569254
"199",9.7936417512998
"200",10.5653138588323
"201",10.5951122760863
"202",10.7630935228246
"203",10.683808760661
"204",11.4462479436435
"205",10.0220015369292
"206",10.5785782652704
"207",9.8574570717172
"208",9.92496149599819
"209",10.5827362859639
"210",10.3328014088042
"211",10.5808553183282
"212",10.5634148673068
"213",10.5480934078546
"214",10.8473973879204
"215",9.57865193479615
"216",9.96482658957299
"217",10.1725513329588
"218",11.1802178269634
"219",10.9190648608178
"220",9.73613319608788
"221",10.1036048135601
"222",11.1125852313702
"223",10.3302123040566
"224",11.2427590641954
"225",9.00734688238447
"226",14.1429031143904
"227",10.2280785724402
"228",9.27560008710384
"229",10.2932766992834
"230",9.40082593084659
"231",10.1178909720791
"232",9.79435613027387
"233",12.2215778461241
"234",9.85777562023438
"235",10.8288344223213
"236",10.5504993812327
"237",10.3371365753826
"238",10.218344766162
"239",10.2107758986437
"240",10.9394984516308
"241",9.78904088203378
"242",10.1489550766245
"243",10.2119142860991
"244",10.5701782285613
"245",10.8696174051955
"246",9.53084459448461
"247",10.6279291059771
"248",10.1912895983027
"249",10.1292085787766
"250",11.4172167948323
"251",9.67770713944444
"252",9.49963738160721
"253",11.0306609939907
"254",10.0549202566073
"255",9.61749896644346
"256",10.3584271511402
"257",14.7396663723002
"258",10.9814005286204
"259",11.9442343615745
"260",10.8920368087952
"261",10.4823006435143
"262",10.3196132838037
"263",10.162415485455
"264",10.4575838126916
"265",9.98739342855462
"266",11.9265837464042
"267",10.7126078971063
"268",9.05153108233737
"269",9.48454229119551
"270",9.93072881154705
"271",11.2646900090629
"272",10.0282370538277
"273",10.0691231071113
"274",9.46019991138287
"275",10.2257216279335
"276",10.0501449843458
"277",10.2417493499047
"278",10.1724074939034
"279",10.6331217021287
"280",10.8156702306382
"281",10.6463849070373
"282",9.44334076913959
"283",11.0879169283949
"284",10.7182143868901
"285",10.2124456783013
"286",10.3615707106334
"287",9.54598053315289
"288",11.714019348657
"289",10.1144301485071
"290",10.454725144956
"291",10.3028070629712
"292",11.2579158589219
"293",11.0264313666674
"294",9.79109792920972
"295",10.4255986568208
"296",10.1881127569147
"297",10.0965764851091
"298",11.4534033285358
"299",10.3245078328107
"300",10.2913661137613
