,Boots value,Legend
b_1.apo,0.193983495761762,b_1.apo
b_2.apo,-0.0239898646612485,b_2.apo
b_1.symb,0.212958690891706,b_1.symb
b_2.symb,-0.0081508758825636,b_2.symb
b_1.apo,0.169827998430187,b_1.apo
b_2.apo,-0.0272845597328045,b_2.apo
b_1.symb,0.146264951733097,b_1.symb
b_2.symb,-0.0083771424935698,b_2.symb
b_1.apo,0.179022067060122,b_1.apo
b_2.apo,-0.0295461723758087,b_2.apo
b_1.symb,0.140148398301016,b_1.symb
b_2.symb,-0.0080252168788418,b_2.symb
b_1.apo,0.10696455521856,b_1.apo
b_2.apo,-0.0219310560303963,b_2.apo
b_1.symb,0.136049413236187,b_1.symb
b_2.symb,-0.0144918102106846,b_2.symb
b_1.apo,0.208216622637354,b_1.apo
b_2.apo,-0.0262027502163751,b_2.apo
b_1.symb,0.174311494746687,b_1.symb
b_2.symb,-0.0112663652162831,b_2.symb
b_1.apo,0.185078625671397,b_1.apo
b_2.apo,-0.0267703923351986,b_2.apo
b_1.symb,0.215559360007397,b_1.symb
b_2.symb,-0.0067579698055931,b_2.symb
b_1.apo,0.190180501485253,b_1.apo
b_2.apo,-0.0233402325311955,b_2.apo
b_1.symb,0.143444054393932,b_1.symb
b_2.symb,-0.0098463765548283,b_2.symb
b_1.apo,0.198367704797812,b_1.apo
b_2.apo,-0.0214582043416767,b_2.apo
b_1.symb,0.206907652016735,b_1.symb
b_2.symb,-0.0075998352712244,b_2.symb
b_1.apo,0.183470082547051,b_1.apo
b_2.apo,-0.0268402945644207,b_2.apo
b_1.symb,0.232654092217207,b_1.symb
b_2.symb,-0.0073329526324338,b_2.symb
b_1.apo,0.203936322234128,b_1.apo
b_2.apo,-0.0247733164928463,b_2.apo
b_1.symb,0.198038812018187,b_1.symb
b_2.symb,-0.011698594372524,b_2.symb
b_1.apo,0.183195240156061,b_1.apo
b_2.apo,-0.0255758139421584,b_2.apo
b_1.symb,0.133204946217909,b_1.symb
