,treatment,Day,mm2,log body size,log body size size
11,200d,0,0.244618254,-1.4080564305495702,-1.4080564305495702
12,200d,0,0.252078243,-1.3780157515669293,-1.3780157515669293
13,200d,0,0.252078243,-1.3780157515669293,-1.3780157515669293
14,200d,0,0.205120791,-1.584156248978016,-1.584156248978016
15,200d,0,0.19598375,-1.629723531351957,-1.629723531351957
16,200d,0,0.166548598,-1.792468132270404,-1.792468132270404
17,200d,0,0.165392011,-1.799436798647352,-1.799436798647352
29,200d,1,0.217901083,-1.5237140668741114,-1.5237140668741114
30,200d,1,0.279952002,-1.2731371119357913,-1.2731371119357913
31,200d,1,0.262024896,-1.3393157568346667,-1.3393157568346667
32,200d,1,0.198065607,-1.619156954686539,-1.619156954686539
33,200d,1,0.164004106,-1.8078638148859827,-1.8078638148859827
34,200d,1,0.14145065,-1.955804385981775,-1.955804385981775
35,200d,1,0.170885801,-1.7667597759868952,-1.7667597759868952
47,200d,2,0.331940609,-1.1027992146223313,-1.1027992146223313
48,200d,2,0.2726655,-1.2995095097852598,-1.2995095097852598
49,200d,2,0.253408319,-1.3727531821154275,-1.3727531821154275
50,200d,2,0.16735821,-1.7876187936694685,-1.7876187936694685
51,200d,2,0.160245197,-1.8310501555494012,-1.8310501555494012
52,200d,2,0.165045035,-1.801536902928797,-1.801536902928797
53,200d,2,0.178114473,-1.7253288286530022,-1.7253288286530022
65,200d,3,0.463271119,-0.7694428260808449,-0.7694428260808449
66,200d,3,0.326157672,-1.1203743580977892,-1.1203743580977892
67,200d,3,0.405441744,-0.9027780803590089,-0.9027780803590089
68,200d,3,0.203212422,-1.5935034332565243,-1.5935034332565243
69,200d,3,0.182336018,-1.7019040413878501,-1.7019040413878501
70,200d,3,0.122540444,-2.0993141483845172,-2.0993141483845172
71,200d,3,0.15162862,-1.8863210373120696,-1.8863210373120696
83,200d,4,0.48721248,-0.7190549471509811,-0.7190549471509811
84,200d,4,0.752302332,-0.2846169985935691,-0.2846169985935691
85,200d,4,0.481082566,-0.7317163687217352,-0.7317163687217352
86,200d,4,0.191820035,-1.651197664219623,-1.651197664219623
87,200d,4,0.221081698,-1.5092229715689145,-1.5092229715689145
88,200d,4,0.139773598,-1.9677313225257427,-1.9677313225257427
89,200d,4,0.157064581,-1.8510982142635133,-1.8510982142635133
101,200d,5,0.599227978,-0.5121131556128349,-0.5121131556128349
102,200d,5,0.522141422,-0.6498168044209602,-0.6498168044209602
103,200d,5,0.763463401,-0.26989009129428115,-0.26989009129428115
104,200d,5,0.208185748,-1.5693245785544927,-1.5693245785544927
105,200d,5,0.186673221,-1.6783956720374813,-1.6783956720374813
106,200d,5,0.185574463,-1.6842990596914562,-1.6842990596914562
118,200d,6,0.847952117,-0.16493111058637425,-0.16493111058637425
119,200d,6,0.682155301,-0.3824979329853436,-0.3824979329853436
120,200d,6,0.695109081,-0.3636864946537402,-0.3636864946537402
121,200d,6,0.221313016,-1.5081772175679713,-1.5081772175679713
122,200d,6,0.340036722,-1.0787016613217923,-1.0787016613217923
123,200d,6,0.181121601,-1.7085866445629236,-1.7085866445629236
124,200d,6,0.239760586,-1.4281144118659386,-1.4281144118659386
136,200d,7,0.923939915,-0.07910823651108069,-0.07910823651108069
137,200d,7,0.725064697,-0.32149439086748877,-0.32149439086748877
138,200d,7,1.281903743,0.24834627221623543,0.24834627221623543
139,200d,7,0.324827596,-1.1244607112495828,-1.1244607112495828
140,200d,7,0.365365988,-1.0068557209250484,-1.0068557209250484
141,200d,7,0.176900056,-1.7321703612534176,-1.7321703612534176
142,200d,7,0.336219983,-1.0899896219393577,-1.0899896219393577
154,200d,8,1.19712588,0.17992358395387337,0.17992358395387337
155,200d,8,0.71639029,-0.3335301627679487,-0.3335301627679487
156,200d,8,1.259812922,0.23096323533676702,0.23096323533676702
157,200d,8,0.382367824,-0.9613722436044635,-0.9613722436044635
158,200d,8,0.335063395,-1.0934355262545048,-1.0934355262545048
159,200d,8,0.197718631,-1.6209103145001833,-1.6209103145001833
160,200d,8,0.399022684,-0.9187370115779688,-0.9187370115779688
172,200d,9,2.084517631,0.7345374764463845,0.7345374764463845
173,200d,9,1.028206277,0.027815805464048427,0.027815805464048427
174,200d,9,2.142057858,0.7617669828652427,0.7617669828652427
175,200d,9,0.489409996,-0.7145547031719368,-0.7145547031719368
176,200d,9,0.310196764,-1.1705484602734801,-1.1705484602734801
177,200d,9,0.229640446,-1.4712404715142333,-1.4712404715142333
178,200d,9,0.610215559,-0.4939430088273289,-0.4939430088273289
190,200d,10,3.014471801,1.1034246244500951,1.1034246244500951
191,200d,10,1.086440457,0.08290671663554873,0.08290671663554873
192,200d,10,2.798074282,1.0289314241396401,1.0289314241396401
193,200d,10,0.663592072,-0.4100876676932106,-0.4100876676932106
194,200d,10,0.453960589,-0.7897448930788977,-0.7897448930788977
195,200d,10,0.393471064,-0.9327477487713265,-0.9327477487713265
196,200d,10,1.02612442,0.025789006452852817,0.025789006452852817
208,200d,14,6.651129841,1.8947867411384949,1.8947867411384949
209,200d,14,4.278737585,1.4536580093096991,1.4536580093096991
210,200d,14,6.792291344,1.9157883432598637,1.9157883432598637
211,200d,14,1.826251645,0.6022655848352755,0.6022655848352755
212,200d,14,1.232922263,0.2093871751549187,0.2093871751549187
213,200d,14,0.919313565,-0.0841280124288429,-0.0841280124288429
214,200d,14,2.810623256,1.033406258040085,1.033406258040085
