"","tau1","tau2"
"1",1.43682071361899,15.6428904142775
"2",2.13950217303983,15.9694777982096
"3",1.0027940367226,14.6639411999135
"4",1.06518439883054,14.9540175296919
"5",0.892402652104192,19.4258336944544
"6",3.40560310487828,16.7256256828236
"7",3.28810959654651,13.7343299199601
"8",1.2982435511464,11.7432868938242
"9",1.11951904221628,17.604925972535
"10",0.995190668263371,15.4117807955176
"11",1.16408170577241,12.8790482496734
"12",0.99496544042399,13.7876349970135
"13",-6.23585946571459,16.1466263807227
"14",2.51202158068535,14.2023758857883
"15",1.39255593853753,18.7225079705954
"16",2.14778040089076,16.768467173032
"17",0.997258158457879,19.2222449636738
"18",2.16737683331392,15.3308966552211
"19",2.05833324990596,11.9473128417663
"20",1.02783750258102,18.7842015709978
"21",2.05881461467898,17.2702301498666
"22",1.02871515236043,9.70324397362046
"23",2.23322834549229,18.7026480950612
"24",2.24535652014524,11.2395187491957
"25",1.00530793056469,15.0726707098005
"26",2.56936286501728,14.6864753241411
"27",1.08244685929238,16.6461950523318
"28",2.70072742128991,16.6163253480974
"29",1.12470745592,17.8297227036553
"30",3.46036334551368,11.9184195120102
"31",0.996139084500303,14.5178216512729
"32",2.35925591335179,17.949146236466
"33",1.0945412702066,9.24261484564001
"34",5.83448174916296,15.05980082437
"35",1.08954155191022,12.9201533120753
"36",2.84194293443331,16.1644872890615
"37",3.75296558860285,13.2443129173765
"38",3.4047213569882,14.4451109382086
"39",2.62892448471878,15.3311137615359
"40",1.6891205557588,19.0564689930643
"41",2.23156611662602,15.9660176339228
"42",1.34887619863947,12.2981599145409
"43",1.37639014481375,15.4502236796689
"44",2.27350728910032,15.2711081036027
"45",2.41822198641279,15.7815432798993
"46",2.92413807107261,11.9894914117778
"47",6.80172679489138,14.0109388964594
"48",2.24191629951054,16.0866219528514
"49",3.91561134767364,16.2370226777008
"50",2.66464579877201,16.1144910764999
"51",2.6751686497152,16.3029119464814
"52",1.58310586643015,17.722183528459
"53",1.98285306292989,16.6629118459832
