experiment;day;individual;mm2;condition;feedingreg;reltime
200d_starved;10;21;1,30518754;1;starving;10
200d_starved;10;22;1,755215829;1;starving;10
200d_starved;10;23;1,696837583;1;starving;10
200d_starved;10;24;2,697590774;1;starving;10
200d_starved;10;25;1,304366963;1;starving;10
200d_starved;10;26;1,682887761;1;starving;10
200d_starved;10;27;1,236024558;1;starving;10
200d_starved;10;28;0,675687173;1;starving;10
200d_starved;10;29;1,865993827;1;starving;10
200d_starved;10;30;0,476521228;1;starving;10
200d_starved;10;31;1,289596563;1;starving;10
200d_starved;10;32;1,005676658;1;starving;10
200d_starved;10;33;1,365089717;1;starving;10
200d_starved;10;34;0,901814958;1;starving;10
200d_starved;10;35;1,347154231;1;starving;10
200d_starved;10;36;1,650299101;1;starving;10
200d_starved;10;37;0,529858782;1;starving;10
200d_starved;10;38;1,98146084;1;starving;10
200d_starved;10;39;0,625983606;1;starving;10
200d_starved;10;40;0,527865951;1;starving;10
200d_starved;10;41;2,032336661;1;starving;10
200d_starved;10;42;1,512910939;1;starving;10
200d_starved;10;43;0,943195523;1;starving;10
200d_starved;10;44;1,762014902;1;starving;10
200d_starved;10;45;1,15631129;1;starving;10
200d_starved;10;46;1,81042899;1;starving;10
200d_starved;10;47;0,78646517;1;starving;10
200d_starved;10;48;0,802642275;1;starving;10
200d_starved;10;49;1,752285194;1;starving;10
200d_starved;10;50;1,013999661;1;starving;10
200d_starved;10;51;1,022908791;1;starving;10
200d_starved;10;52;2,020496896;1;starving;10
200d_starved;10;53;1,324764181;1;starving;10
200d_starved;10;54;1,686404523;1;starving;10
200d_starved;10;55;1,77326854;1;starving;10
200d_starved;10;56;1,358525095;1;starving;10
200d_starved;10;57;1,145878229;1;starving;10
200d_starved;10;58;1,632832517;1;starving;10
200d_starved;10;59;1,598602702;1;starving;10
200d_starved;10;60;0,848242953;1;starving;10
200d_starved;10;61;1,262634722;1;starving;10
200d_starved;10;62;0,921157149;1;starving;10
200d_starved;10;63;1,821330951;1;starving;10
200d_starved;10;64;0,986920595;1;starving;10
200d_starved;10;65;1,284086969;1;starving;10
200d_starved;10;66;1,363448561;1;starving;10
200d_starved;10;67;0,906152298;1;starving;10
200d_starved;10;68;0,63020372;1;starving;10
200d_starved;10;69;0,529976008;1;starving;10
200d_starved;10;70;1,503884584;1;starving;10
200d_starved;10;71;2,139832348;1;starving;10
200d_starved;10;72;1,812187371;1;starving;10
200d_starved;10;73;1,587231839;1;starving;10
200d_starved;10;74;1,321716321;1;starving;10
200d_starved;10;75;0,820694986;1;starving;10
200d_starved;10;76;1,345395851;1;starving;10
200d_starved;10;77;1,281742461;1;starving;10
200d_starved;10;78;1,35711839;1;starving;10
