"","b_1.long.starvation..ii.","b_2.long.starvation..ii.","b_3.long.starvation..ii."
"1",-0.0273286623933335,-0.0319276071244662,0.000642024432901203
"2",-0.03367820479094,-0.0339072764164701,-0.0018602996213127
"3",-0.0217907549093875,-0.00990405709314414,-0.00256449324756792
"4",-0.0966264837731252,-0.0287272999016864,0.000350171544592771
"5",-0.0296396569983675,-0.0121920572274801,0.00427556788345185
"6",-0.0668473186624916,-0.0270816216142449,0.00164417833100593
"7",-0.028465167760813,-0.0314649551157533,0.00013967399499853
"8",-0.0140026854277862,-0.00491904044549551,-0.00558609009406288
"9",-0.103304233980207,-0.0266070567174632,1.03424630619156e-05
"10",-0.117367235184662,-0.024771969449537,0.0027101386043125
"11",-0.125842627128263,-0.0267992261368825,0.00322717897329951
"12",-0.0261184352491758,-0.00221674001004485,-0.0111439955182543
"13",0.0279215875052921,-0.0192841184492325,0.0232107416297105
"14",-0.0447988965463956,-0.0229847422844695,0.0047984391438581
"15",-0.0339139939900723,-0.0221973392641875,-0.00417419939596267
"16",-0.0711286497987968,-0.0262812177824337,0.0017340324606617
"17",-0.0339088610089305,-0.0190929108712374,-4.41309181140396e-05
"18",-0.118124649393056,-0.0308758499686521,-0.000226485678199297
"19",-0.0265061931502303,-0.0138636996313059,-0.00104306051824921
"20",-0.0196195594556967,-0.00416851634032873,-7.34546349708181e-06
"21",-0.0990906676367949,-0.029676842879362,-0.000821874393085791
"22",-0.0333304793757916,-0.00131883292424639,-0.0111586507060961
"23",-0.0551896963252694,-0.0255322362742546,0.00180648957438098
"24",-0.0294223752817547,-0.0387907724099458,0.000853079811083333
"25",-0.0346426792115286,-0.0191645922309018,0.00298961308622783
"26",-0.0171904197993683,-0.0144804078695722,0.0129845479760413
"27",-0.0298886926169415,-0.00504244303580109,0.000572335007010978
"28",-0.0370903934980692,-0.0263951093242781,0.00238731645574145
"29",-0.0527646957540635,-0.0270398075410702,0.00201450774410959
"30",-0.0364427472095638,0.00088353291205992,-0.0110766922957736
"31",-0.0702158169807443,-0.0313791708335228,0.00101560186142813
"32",-0.051788370982095,-0.0108152726449883,-0.0117464384437625
"33",-0.0295214933604316,-0.0236790201855403,0.00106593675392885
"34",-0.0193065513701968,-0.000256239583625449,-0.00272453187595494
"35",-0.0199264057653424,-0.0199527598316689,0.0154801271116288
"36",-0.083164252737501,-0.0278488094181106,0.000664808903389936
