"","b_1.RES","b_2.RES","b_3.RES","b_4.RES"
"1",0.174225876860482,-0.0283114854424341,0.0873730893608667,-0.0260726328878746
"2",0.153773476312934,-0.0365413705654902,0.044645591114787,-0.022507143917916
"3",0.215557204403224,-0.0388513485730158,0.034442409388444,-0.0194733245621497
"4",0.2209144727205,-0.0411596750001535,0.0465345306650939,-0.0251378280481552
"5",0.232319928203519,-0.0369295708725992,0.0645895367207864,-0.0181906079997586
"6",0.257043931443191,-0.0342869709966616,0.0680079210766764,-0.0212681785463224
"7",0.134212659990814,-0.0378735028186434,0.0445891467547491,-0.024065300832789
"8",0.145436280907559,-0.0350076272934222,0.0527845335557257,-0.0195064329263034
"9",0.222850693505171,-0.0443932982613521,0.0438154666727829,-0.0244008771785656
"10",0.199032939894837,-0.0392173157145274,0.0343041795618482,-0.0218552313580919
"11",0.143606950678929,-0.041280069058446,0.0155759249131175,-0.0171957493311005
"12",0.156250483529738,-0.0395227637535905,0.0272600391191443,-0.0272846729024948
"13",0.236100876411066,-0.0370005184527561,0.0437890259062706,-0.0212976872411861
"14",0.179662953283858,-0.0487275507226773,0.025589124561739,-0.0233052208710857
"15",0.148365682720659,-0.0498690335355507,0.0468450812754058,-0.0170240196379314
"16",0.206094631190197,-0.0299903462082413,0.0460830257053,-0.0248111856656924
"17",0.189073945460977,-0.0409977212679758,0.0309795810646831,-0.0276215422473367
"18",0.152160081484632,-0.0358997461019341,0.022839958535024,-0.00716413001241068
"19",0.152697763603621,-0.0440492907311988,0.0584722086680004,-0.0314557998233916
"20",0.142094621763665,-0.0418168726698503,0.0413405484861606,-0.025396714367657
"21",0.192503243335487,-0.0362758977684248,0.0393861926055766,-0.0356879018916499
"22",0.162564772709232,-0.0433318522009792,0.0220837376944201,-0.0272565217037471
"23",0.235259054817091,-0.0370491209139248,0.0904836252224849,-0.0220126214420962
"24",0.176560530557122,-0.0382729842236611,0.0259966130881412,-0.025488995777255
"25",0.161267287175574,-0.042059637280322,0.02387884103075,-0.0242098080681829
"26",0.26127095314877,-0.0363228623231599,0.0577079268180814,-0.0174191502988178
"27",0.146072120380108,-0.0409668081823567,0.0435253594486365,-0.0232370496735799
"28",0.238597863906065,-0.0424847236244325,0.058721845290004,-0.0274816166271613
"29",0.165076205833631,-0.0422672697423807,0.0310587315708323,-0.0247453438785369
"30",0.175409019606453,-0.0400235045116179,0.028119335576116,-0.0249397647506388
"31",0.139215370842983,-0.0378028406275391,0.0409416414181202,-0.0241060805608536
"32",0.181881778105737,-0.0411020803003537,0.0359251658481727,-0.0151014893866579
"33",0.169410259955586,-0.0317369847062639,0.0630919894475551,-0.0175785906828648
"34",0.111948787424334,-0.0410012497713729,0.0354792555037446,-0.0206185837426449
"35",0.20381821970701,-0.0387189486369477,0.0271531070364398,-0.0220778857985829
"36",0.185354658484178,-0.0374453008878294,0.0373989903246191,-0.024963625143911
"37",0.129331444366113,-0.0433438525538627,0.0240632267018158,-0.0184913223422005
"38",0.18624180208455,-0.0353458943743245,0.0541208557996462,-0.0204675576839311
"39",0.149531629310303,-0.0429677433160886,0.0650704598035509,-0.0188181677875018
"40",0.183452274837708,-0.0396473675468341,0.040824390817076,-0.0319499584347971
"41",0.173946312829419,-0.0396743382833429,0.0263851975402845,-0.0160394255056319
"42",0.208381837201048,-0.0396929825023051,0.0253125401111608,-0.0181187112513288
"43",0.194647645286054,-0.0312449566037824,0.0148838305805522,-0.0140712501265905
"44",0.158541554814985,-0.0484396828434898,0.0888979947436557,-0.0257085565315546
"45",0.217333400795561,-0.0445142336726909,0.0901024112557778,-0.0214278045278854
"46",0.1685997310351,-0.0500573874212691,0.0599875909069344,-0.0213158604425055
"47",0.209286746623437,-0.0429210907690942,0.0354800431872099,-0.0226807512142687
"48",0.19700815299024,-0.0353762817758079,0.0309077182775657,-0.0184561474426871
"49",0.187275639315914,-0.0379053640652868,0.0656724131762817,-0.0229173718779913
"50",0.1735959047335,-0.0389686720847349,0.0392677369007013,-0.0171131309055095
"51",0.180314520814079,-0.0428272523379168,0.037879949960491,-0.0183994462605221
"52",0.158263335328404,-0.0408933881179812,0.0447123063010315,-0.0174745645656185
"53",0.184553549537472,-0.0414994841426444,0.070992090650565,-0.0234773243468537
"54",0.174923090231934,-0.0383095495876309,0.0228160937127747,-0.0222791257938396
"55",0.210997559815117,-0.0355078090349297,0.0268319092517005,-0.0292481859153535
"56",0.220319218935562,-0.0357944305441076,0.0458917708901551,-0.0232152782758235
"57",0.172576250287851,-0.0485945688749846,0.0502209970493968,-0.0304692747225443
"58",0.158314230410464,-0.0380197989661962,0.0754172440515012,-0.0203884827946474
"59",0.220280542181655,-0.0423709543690224,0.180259149454184,-0.0189992394934106
"60",0.175160801781556,-0.042696290924541,0.0312796660520215,-0.0279533649244861
"61",0.197767927062447,-0.034903606929374,0.0478941860084761,-0.0266769763761697
"62",0.159043678277624,-0.041105603477591,0.039625694761663,-0.0215692472204226
"63",0.197684107321013,-0.0379949395522549,0.0265692970059831,-0.0314261129702619
"64",0.20043741780118,-0.0422411257133761,0.057708066108368,-0.0194375216316695
"65",0.17651900738797,-0.0354179095975658,0.0577311055706423,-0.0213339475632188
"66",0.124050921488598,-0.0388141766980229,0.0422893241019364,-0.0207738913356334
"67",0.19725544601704,-0.045299042295492,0.031492918662881,-0.0199221664306195
"68",0.195061743194848,-0.0494159029665585,0.0679957370655002,-0.01875327031515
"69",0.164205989344817,-0.0454036290650843,0.0214465339999388,-0.0200104365439341
